Row (x), Pitch (Y), Yaw (Z), Time (s)
4.20,-4.45,1.86,31.73
5.22,15.76,2.44,31.84
10.11,4.78,-2.78,31.94
6.66,5.89,-1.80,32.04
9.08,-18.48,11.77,32.31
10.85,-0.22,3.39,32.41
7.07,-5.07,6.54,32.52
6.13,11.68,4.60,32.62
1.59,-4.05,12.44,32.72
-0.02,2.43,19.02,32.83
2.33,-12.75,15.13,32.93
5.64,0.56,14.22,33.04
5.13,5.72,11.96,33.14
5.29,-1.54,14.86,33.24
6.42,1.68,19.76,33.52
6.72,12.26,15.13,33.62
2.92,9.08,12.58,33.72
6.42,26.60,10.59,33.83
4.60,3.36,8.76,33.93
2.31,7.55,8.57,34.04
2.58,11.19,5.51,34.14
5.29,0.85,5.38,34.24
10.74,16.61,5.77,34.35
3.14,0.94,9.32,34.45
5.61,16.42,-4.31,34.72
6.63,21.60,-2.88,34.82
5.10,7.12,-2.66,34.92
7.17,6.99,-0.10,35.03
5.65,12.74,-2.14,35.13
5.23,0.39,-1.20,35.24
5.56,11.88,0.10,35.34
5.45,-2.95,2.78,35.44
3.08,5.77,3.63,35.55
5.74,5.55,-1.98,35.65
5.79,-4.45,-7.21,35.92
3.88,4.69,-1.92,36.02
4.56,11.66,-2.52,36.13
5.01,-4.07,-2.41,36.23
4.77,14.88,-1.04,36.33
5.48,-3.92,0.75,36.44
7.11,4.20,1.45,36.54
6.84,8.42,-0.07,36.65
6.14,1.65,0.46,36.75
4.83,13.43,1.89,36.85
6.47,17.02,0.58,37.12
5.07,3.11,-4.27,37.22
6.83,20.27,-3.31,37.33
8.65,-2.88,-4.82,37.43
5.12,9.11,-5.25,37.53
5.72,11.27,-6.93,37.64
5.14,1.31,-4.25,37.74
6.13,10.67,-1.93,37.85
2.00,-1.72,-0.17,37.95
1.42,-2.28,5.98,38.05
10.10,16.39,8.62,38.33
6.90,3.41,5.23,38.43
7.12,3.69,8.05,38.53
5.24,12.56,4.95,38.64
5.40,-3.40,6.56,38.74
4.57,12.19,7.09,38.84
4.47,-3.97,9.47,38.95
7.72,2.82,8.95,39.05
4.67,9.48,6.69,39.16
5.27,1.35,8.07,39.26
6.05,-5.47,13.42,39.52
7.19,10.89,11.13,39.62
4.17,0.46,6.64,39.73
9.51,19.46,6.71,39.83
4.59,-0.97,3.76,39.94
5.16,8.54,5.12,40.04
5.61,12.79,2.17,40.14
4.77,2.09,3.51,40.25
5.17,11.80,5.06,40.35
1.82,-1.12,6.51,40.46
7.50,-0.74,-1.44,40.72
5.68,17.29,1.48,40.82
0.66,15.85,-2.02,40.93
