Roll (x), Pitch (Y), Yaw (Z), Time (s)
6.38,-2.61,193.89,28.60
8.91,19.51,99.11,28.72
6.01,-3.02,183.90,28.83
8.97,19.93,97.36,28.94
5.64,-4.00,186.46,29.06
9.64,18.35,103.30,29.17
5.60,-5.30,167.32,29.29
9.78,18.59,78.89,29.40
5.60,-5.51,91.48,29.51
8.62,26.18,124.01,29.63
5.34,-6.88,120.20,29.74
8.35,24.36,162.04,29.86
5.73,-7.61,84.87,29.97
8.86,22.26,143.13,30.08
7.60,-12.41,50.46,30.20
8.25,26.30,114.50,30.31
6.87,-11.41,19.92,30.43
7.49,29.36,-6.03,30.54
6.92,-12.08,-6.13,30.66
7.52,27.57,-53.37,30.77
7.10,-12.30,-38.02,30.88
8.66,27.16,-27.02,31.00
7.85,-10.73,50.58,31.11
9.90,16.26,-55.57,31.23
6.87,-6.82,34.05,31.34
7.58,16.77,48.97,31.45
6.36,-7.62,132.17,31.57
7.65,18.16,8.83,31.68
8.16,2.99,94.71,31.80
9.35,18.81,-39.97,31.91
6.02,5.63,44.87,32.02
8.44,0.88,65.42,32.14
6.19,6.89,101.66,32.25
7.32,5.59,78.70,32.37
6.06,3.23,106.29,32.48
8.57,1.16,79.00,32.59
7.60,19.14,52.86,32.71
9.54,-4.31,-81.07,32.82
6.44,12.15,-32.22,32.94
5.74,-5.28,61.25,33.05
10.17,20.85,-54.68,33.16
6.03,-9.54,193.37,33.28
8.87,22.92,197.28,33.39
5.89,-7.84,251.97,33.51
8.90,23.75,221.39,33.62
5.49,-6.30,138.74,33.73
11.09,26.63,56.89,33.85
6.12,-7.67,78.64,33.96
8.36,24.32,142.32,34.08
6.34,-8.57,84.83,34.19
7.76,26.43,95.91,34.30
5.91,-7.69,102.52,34.42
7.90,27.06,16.60,34.53
7.09,-9.92,38.38,34.65
7.70,26.49,35.83,34.76
7.08,-11.54,84.80,34.87
8.96,22.56,-23.77,34.99
7.22,-9.91,82.44,35.10
9.53,13.79,-86.21,35.22
6.45,-7.76,82.34,35.33
8.91,8.13,-82.90,35.44
6.34,-4.34,63.95,35.56
8.78,9.86,-30.37,35.67
6.29,-0.73,119.32,35.78
9.17,9.12,13.11,35.90
6.49,4.49,165.89,36.01
9.68,4.33,104.17,36.13
6.33,2.85,180.79,36.24
8.78,-0.12,73.49,36.35
6.76,7.85,112.58,36.47
7.95,-1.96,116.71,36.58
8.05,11.83,92.61,36.70
7.05,-3.57,148.84,36.81
8.31,16.11,97.63,36.92
7.90,-2.95,189.68,37.04
8.65,19.26,143.70,37.15
6.88,-3.92,217.35,37.27
10.07,20.32,118.49,37.38
5.72,-3.29,170.06,37.49
9.93,18.11,68.17,37.61
5.66,-6.08,128.78,37.72
10.24,18.48,82.11,37.84
5.36,-5.27,137.86,37.95
10.99,18.23,138.46,38.06
5.54,-6.72,129.33,38.18
10.09,20.69,172.47,38.29
6.12,-7.99,103.30,38.41
8.69,24.31,161.55,38.52
5.73,-8.32,91.24,38.63
7.95,25.61,151.35,38.75
6.16,-9.35,64.53,38.86
7.06,28.05,131.16,38.98
7.06,-12.38,84.64,39.09
7.48,29.19,87.13,39.21
7.43,-12.18,94.20,39.32
7.12,30.75,-2.18,39.43
7.35,-9.90,38.45,39.55
8.46,23.96,-105.41,39.66
6.63,-7.08,12.51,39.78
9.45,17.50,-113.49,39.89
6.33,-6.28,44.04,40.00
9.35,13.05,-84.57,40.12
6.63,-6.40,72.32,40.23
9.58,9.54,-87.89,40.35
6.11,-4.38,104.81,40.46
9.37,3.71,-28.81,40.57
5.93,0.71,102.94,40.69
9.12,0.70,50.19,40.80
6.77,4.89,109.14,40.92
9.12,3.56,102.56,41.03
7.99,9.58,151.69,41.14
8.96,-1.16,177.34,41.26
8.18,14.88,174.48,41.37
7.96,-2.18,206.41,41.49
8.81,18.85,153.15,41.60
7.08,-3.76,229.42,41.71
8.19,18.14,126.24,41.83
6.29,-2.82,200.48,41.94
9.17,19.77,90.19,42.06
5.75,-2.54,183.61,42.17
10.13,18.29,103.97,42.28
5.56,-2.42,171.34,42.40
10.62,18.48,72.44,42.51
5.35,-5.05,85.32,42.62
9.97,19.51,73.45,42.74
5.48,-7.37,63.53,42.85
9.13,22.17,114.75,42.97
5.58,-7.09,53.45,43.08
9.60,20.64,141.18,43.19
6.26,-9.15,78.52,43.31
8.48,24.87,150.13,43.42
6.46,-10.29,68.73,43.54
7.40,27.90,78.50,43.65
7.80,-11.55,18.66,43.76
7.04,30.44,-37.38,43.88
6.96,-12.33,4.10,43.99
8.11,25.05,2.77,44.11
7.27,-11.33,52.15,44.22
8.69,21.05,-38.77,44.33
7.01,-10.78,84.15,44.45
9.22,12.90,-69.83,44.56
6.76,-6.38,51.40,44.68
9.49,15.73,-96.44,44.79
6.29,-4.65,64.27,44.90
9.67,10.61,-60.29,45.02
5.88,-0.35,138.84,45.13
9.02,6.06,51.26,45.25
6.15,3.74,198.69,45.36
9.31,3.62,39.49,45.47
6.16,2.85,155.37,45.59
9.08,0.91,87.27,45.70
6.84,8.88,118.72,45.82
8.25,-1.59,123.21,45.93
7.09,13.49,69.66,46.04
7.10,-1.54,142.04,46.16
7.95,15.38,119.36,46.27
7.52,-2.92,214.23,46.39
9.25,17.92,103.81,46.50
6.54,-1.91,188.11,46.61
9.73,19.88,75.87,46.73
5.80,-3.49,144.99,46.84
9.00,17.94,52.96,46.96
5.66,-4.98,149.87,47.07
10.14,18.60,66.76,47.18
5.19,-5.72,140.60,47.30
10.46,18.04,129.43,47.41
5.36,-5.23,134.50,47.53
9.90,19.81,192.06,47.64
5.17,-6.56,135.66,47.75
8.73,24.23,173.02,47.87
5.42,-6.69,83.57,47.98
7.35,27.89,176.77,48.10
6.33,-9.37,73.14,48.21
7.36,28.01,140.13,48.32
7.13,-12.47,86.18,48.44
7.75,28.83,87.41,48.55
7.50,-11.39,47.37,48.67
